counter txid numreads length
1 FBtr0333190 0 1343
2 FBtr0299729 322 5101
3 FBtr0077629 0 1803
4 FBtr0077628 0 998
5 FBtr0077623 0 672
6 FBtr0077621 26 432
7 FBtr0077620 132 1307
8 FBtr0077627 0 2892
9 FBtr0077626 52 3008
10 FBtr0077625 196 3098
11 FBtr0072052 24 1415
12 FBtr0072051 0 784
13 FBtr0072050 0 1136
14 FBtr0072057 0 870
15 FBtr0072056 0 1052
16 FBtr0072059 0 1221
17 FBtr0072058 0 3848
18 FBtr0088225 0 1138
19 FBtr0088224 50 1092
20 FBtr0088227 0 3215
21 FBtr0088226 0 739
22 FBtr0088221 0 1200
23 FBtr0088223 102 1523
24 FBtr0088222 0 1138
25 FBtr0088228 84 1543
26 FBtr0308321 444 6542
27 FBtr0308320 198 3151
28 FBtr0308323 0 6493
29 FBtr0308322 0 3805
30 FBtr0308325 0 7938
31 FBtr0308324 0 6586
32 FBtr0308327 0 8457
33 FBtr0308326 378 6288
34 FBtr0308329 0 7097
35 FBtr0308328 518 8643
36 FBtr0085138 0 2050
37 FBtr0085139 0 1909
38 FBtr0085132 0 2613
39 FBtr0085133 62 1130
40 FBtr0085130 0 2897
41 FBtr0085131 0 1446
42 FBtr0085136 116 1514
43 FBtr0085137 152 2128
44 FBtr0085135 0 1054
45 FBtr0333107 1010 9521
46 FBtr0333106 556 9409
47 FBtr0073016 224 3020
48 FBtr0333104 0 1000
49 FBtr0333103 0 2955
50 FBtr0333102 0 1517
51 FBtr0333101 126 1813
52 FBtr0333100 60 2497
53 FBtr0309058 0 2301
54 FBtr0309059 106 1567
55 FBtr0073018 0 72
56 FBtr0073019 0 72
57 FBtr0333109 0 9722
58 FBtr0333108 0 9265
59 FBtr0303755 0 672
60 FBtr0303757 96 5340
61 FBtr0303756 276 4522
62 FBtr0303751 0 3009
63 FBtr0303750 0 11586
64 FBtr0303759 0 3824
65 FBtr0303758 0 1942
66 FBtr0309588 0 112
67 FBtr0309589 0 23
68 FBtr0309582 0 22
69 FBtr0309583 0 103
70 FBtr0309580 0 134
71 FBtr0309581 0 22
72 FBtr0309586 0 111
73 FBtr0309587 0 21
74 FBtr0309584 0 22
75 FBtr0309585 0 20
76 FBtr0110942 0 2180
77 FBtr0110941 0 5136
78 FBtr0110947 0 892
79 FBtr0110944 46 706
80 FBtr0081259 0 2062
81 FBtr0081258 74 1360
82 FBtr0081253 0 2417
83 FBtr0081252 40 534
84 FBtr0081251 0 1482
85 FBtr0081250 0 660
86 FBtr0081257 64 1146
87 FBtr0081256 70 910
88 FBtr0081254 356 4694
89 FBtr0074549 0 920
90 FBtr0074540 78 866
91 FBtr0074546 160 2397
92 FBtr0074545 96 1465
93 FBtr0074544 130 2289
94 FBtr0075038 94 1201
95 FBtr0075039 0 5051
96 FBtr0300518 224 3661
97 FBtr0305494 0 2063
98 FBtr0305495 0 1463
99 FBtr0305496 46 710
100 FBtr0305497 0 2030
101 FBtr0305490 0 3539
102 FBtr0305491 284 3549
103 FBtr0305492 82 3558
104 FBtr0305493 0 3551
105 FBtr0305498 148 2845
106 FBtr0305499 438 6962
107 FBtr0112516 0 1174
108 FBtr0112514 0 907
109 FBtr0112512 130 1524
110 FBtr0112511 146 2243
111 FBtr0112510 0 1699
112 FBtr0112519 10 735
113 FBtr0305148 72 1226
114 FBtr0305149 240 3468
115 FBtr0305147 0 3289
116 FBtr0305145 1654 26263
117 FBtr0305142 0 47850
118 FBtr0305141 0 47440
119 FBtr0309872 122 2605
120 FBtr0085968 0 3048
121 FBtr0309870 52 659
122 FBtr0309871 0 1502
123 FBtr0309876 0 2592
124 FBtr0309877 0 2368
125 FBtr0309874 0 2794
126 FBtr0309875 166 1689
127 FBtr0085961 0 614
128 FBtr0309878 0 717
129 FBtr0309879 270 3498
130 FBtr0085964 174 2636
131 FBtr0085967 0 2919
132 FBtr0085966 0 1666
133 FBtr0300516 0 3807
134 FBtr0300514 0 3960
135 FBtr0300515 0 3852
136 FBtr0089639 0 2563
137 FBtr0089638 178 2499
138 FBtr0300510 406 4228
139 FBtr0300511 0 3402
140 FBtr0089635 176 2618
141 FBtr0089634 192 2519
142 FBtr0089637 0 3178
143 FBtr0089636 0 2187
144 FBtr0089631 86 1839
145 FBtr0089630 116 2010
146 FBtr0089633 0 1759
147 FBtr0300519 0 4454
148 FBtr0301645 0 2732
149 FBtr0301644 0 1918
150 FBtr0301647 140 2611
151 FBtr0083490 0 1134
152 FBtr0083497 0 74
153 FBtr0301640 0 1178
154 FBtr0301643 0 2178
155 FBtr0083494 0 73
156 FBtr0083499 0 73
157 FBtr0083498 0 633
158 FBtr0301649 0 1878
159 FBtr0301648 0 1214
160 FBtr0079883 170 2177
161 FBtr0079885 0 2331
162 FBtr0079884 0 1607
163 FBtr0079887 134 2222
164 FBtr0079886 0 2258
165 FBtr0079889 0 3098
166 FBtr0079888 0 792
167 FBtr0091919 0 63
168 FBtr0091914 50 585
169 FBtr0091917 0 154
170 FBtr0091916 6 498
171 FBtr0091911 0 530
172 FBtr0091910 36 555
173 FBtr0091913 30 574
174 FBtr0091912 0 415
175 FBtr0100187 0 2022
176 FBtr0100186 94 3916
177 FBtr0100185 0 4288
178 FBtr0100184 0 4749
179 FBtr0100183 0 1753
180 FBtr0100182 58 974
181 FBtr0100188 92 1161
182 FBtr0084618 26 747
183 FBtr0084619 218 3469
184 FBtr0084611 86 1152
185 FBtr0084613 58 946
186 FBtr0084614 0 1047
187 FBtr0084617 66 996
188 FBtr0082722 0 1462
189 FBtr0082723 96 1439
190 FBtr0082720 0 700
191 FBtr0082721 0 815
192 FBtr0082726 198 2913
193 FBtr0082727 0 2606
194 FBtr0082724 72 1136
195 FBtr0100459 96 1655
196 FBtr0100451 56 725
197 FBtr0100453 0 942
198 FBtr0100452 0 829
199 FBtr0100455 230 3394
200 FBtr0100454 0 2977
201 FBtr0100457 0 3649
202 FBtr0100456 0 1528
203 FBtr0070635 218 3460
204 FBtr0070634 224 3748
205 FBtr0331334 0 2004
206 FBtr0331335 230 3593
207 FBtr0331332 0 2404
208 FBtr0331333 0 2041
209 FBtr0331330 306 4723
210 FBtr0331331 64 3555
211 FBtr0070639 0 894
212 FBtr0070638 82 1448
213 FBtr0331338 174 3550
214 FBtr0331339 0 4774
215 FBtr0079719 0 526
216 FBtr0330064 0 1506
217 FBtr0330067 0 6417
218 FBtr0330066 0 6206
219 FBtr0330061 0 1554
220 FBtr0330060 0 882
221 FBtr0330063 74 1491
222 FBtr0330062 0 1542
223 FBtr0079711 0 2741
224 FBtr0079710 0 2774
225 FBtr0079713 0 361
226 FBtr0079712 114 1688
227 FBtr0079715 0 792
228 FBtr0079714 0 332
229 FBtr0079716 48 767
230 FBtr0307179 120 1822
231 FBtr0307178 90 1417
232 FBtr0307175 104 1564
233 FBtr0307174 0 2183
234 FBtr0307177 0 1371
235 FBtr0307176 0 1344
236 FBtr0307171 0 2350
237 FBtr0307170 0 1853
238 FBtr0307173 0 10229
239 FBtr0307172 0 1156
240 FBtr0333177 0 7849
241 FBtr0289989 236 2428
242 FBtr0289988 164 2823
243 FBtr0289985 0 4589
244 FBtr0091510 0 520
245 FBtr0289986 0 1810
246 FBtr0289981 378 4846
247 FBtr0289983 0 1659
248 FBtr0289982 0 13807
249 FBtr0076772 454 5044
250 FBtr0076773 214 3307
251 FBtr0076770 0 1338
252 FBtr0076771 400 3670
253 FBtr0076776 0 5065
254 FBtr0076777 384 5107
255 FBtr0076774 0 4681
256 FBtr0076775 0 2828
257 FBtr0071278 154 2401
258 FBtr0071279 0 3081
259 FBtr0071276 140 2236
260 FBtr0071277 144 2282
261 FBtr0071274 176 2919
262 FBtr0071275 142 2295
263 FBtr0071272 0 2027
264 FBtr0071273 180 2283
265 FBtr0071270 0 2468
266 FBtr0071271 116 2353
267 FBtr0073903 42 2039
268 FBtr0300259 0 4030
269 FBtr0300255 0 2521
270 FBtr0300254 0 2312
271 FBtr0300257 0 715
272 FBtr0300256 290 4596
273 FBtr0300251 56 833
274 FBtr0300250 0 490
275 FBtr0300253 0 697
276 FBtr0300252 0 401
277 FBtr0070142 0 475
278 FBtr0070141 122 1743
279 FBtr0070140 0 3204
280 FBtr0331228 0 2075
281 FBtr0331229 60 1020
282 FBtr0070145 136 1802
283 FBtr0331224 0 2679
284 FBtr0331225 118 1774
285 FBtr0070149 92 1565
286 FBtr0073658 0 2520
287 FBtr0070148 0 1109
288 FBtr0073652 142 2313
289 FBtr0073653 58 818
290 FBtr0073650 0 1326
291 FBtr0073651 0 2451
292 FBtr0073656 0 1546
293 FBtr0073657 0 1517
294 FBtr0331221 622 8887
295 FBtr0333745 414 6913
296 FBtr0333744 338 5823
297 FBtr0333747 0 642
298 FBtr0333746 54 1019
299 FBtr0333741 0 5737
300 FBtr0333743 596 9304
301 FBtr0333742 0 6550
302 FBtr0333749 230 3763
303 FBtr0333748 122 2395
304 FBtr0330172 0 1308
305 FBtr0330171 250 4246
306 FBtr0330170 0 2244
307 FBtr0076664 242 2355
308 FBtr0330723 0 8434
309 FBtr0330176 60 1056
310 FBtr0333811 0 6934
311 FBtr0330175 136 2298
312 FBtr0333810 0 4358
313 FBtr0113180 0 1516
314 FBtr0073904 28 1233
315 FBtr0333812 0 3958
316 FBtr0073902 0 1398
317 FBtr0333814 152 2025
318 FBtr0073900 270 3866
319 FBtr0073901 0 1942
320 FBtr0081099 104 2273
321 FBtr0081098 0 852
322 FBtr0333818 0 4844
323 FBtr0081091 0 1112
324 FBtr0081090 0 643
325 FBtr0081093 0 1838
326 FBtr0081092 0 1991
327 FBtr0081095 0 1214
328 FBtr0073825 406 5875
329 FBtr0081097 134 1868
330 FBtr0081096 0 2349
331 FBtr0080515 44 751
332 FBtr0074389 0 812
333 FBtr0074388 0 6361
334 FBtr0080514 0 5743
335 FBtr0073908 0 1976
336 FBtr0074381 232 2013
337 FBtr0074383 0 2432
338 FBtr0074382 0 1783
339 FBtr0074385 0 1888
340 FBtr0074384 154 2009
341 FBtr0074387 22 960
342 FBtr0080512 0 1684
343 FBtr0302029 0 2521
344 FBtr0113007 102 1607
345 FBtr0113004 0 1259
346 FBtr0113003 160 2434
347 FBtr0113000 0 2408
348 FBtr0113008 0 2629
349 FBtr0113009 98 1411
350 FBtr0080519 0 1335
351 FBtr0075162 68 1021
352 FBtr0075163 32 430
353 FBtr0075160 100 1763
354 FBtr0075161 0 1288
355 FBtr0075167 0 1553
356 FBtr0075164 0 350
357 FBtr0075169 86 1326
358 FBtr0073828 180 2809
359 FBtr0333622 24 426
360 FBtr0088526 38 533
361 FBtr0088527 0 490
362 FBtr0088524 0 1267
363 FBtr0088525 44 518
364 FBtr0088522 120 1929
365 FBtr0088523 0 1880
366 FBtr0088520 0 1686
367 FBtr0088521 0 1673
368 FBtr0088529 88 1328
369 FBtr0080052 0 1516
370 FBtr0331596 0 6391
371 FBtr0080050 0 1159
372 FBtr0080051 100 1082
373 FBtr0080054 0 4070
374 FBtr0080055 0 1405
375 FBtr0080059 154 2577
376 FBtr0331594 0 4771
377 FBtr0112755 126 2344
378 FBtr0112754 0 4189
379 FBtr0112757 68 945
380 FBtr0112756 0 1472
381 FBtr0112751 0 1469
382 FBtr0112750 0 186
383 FBtr0112753 298 4144
384 FBtr0112752 62 1035
385 FBtr0331592 0 6341
386 FBtr0331593 294 3766
387 FBtr0331590 0 716
388 FBtr0331591 300 4492
389 FBtr0089433 152 2353
390 FBtr0089432 0 2508
391 FBtr0089431 28 2383
392 FBtr0089430 174 2383
393 FBtr0089437 174 2387
394 FBtr0089436 132 1957
395 FBtr0089435 148 2309
396 FBtr0089434 144 2429
397 FBtr0089439 0 1822
398 FBtr0083651 0 3402
399 FBtr0088383 0 1430
400 FBtr0088380 0 945
401 FBtr0088381 0 5261
402 FBtr0088386 56 1086
403 FBtr0088387 0 1340
404 FBtr0088384 0 2300
405 FBtr0088385 0 2621
406 FBtr0083658 178 2734
407 FBtr0088388 0 1526
408 FBtr0088389 0 1387
409 FBtr0087721 0 561
410 FBtr0087720 86 1445
411 FBtr0087722 0 2932
412 FBtr0087729 82 1797
413 FBtr0087728 0 3249
414 FBtr0073015 84 1296
415 FBtr0333105 0 9937
416 FBtr0073017 0 123
417 FBtr0073010 0 1631
418 FBtr0073011 0 1996
419 FBtr0309056 0 4416
420 FBtr0071368 0 1760
421 FBtr0309057 0 1665
422 FBtr0071369 142 2177
423 FBtr0290228 0 698
424 FBtr0290229 0 442
425 FBtr0290227 202 3429
426 FBtr0290224 28 579
427 FBtr0290225 44 686
428 FBtr0290222 76 1178
429 FBtr0290223 0 2586
430 FBtr0290220 0 972
431 FBtr0290221 46 867
432 FBtr0114348 0 67
433 FBtr0114349 0 132
434 FBtr0114344 0 78
435 FBtr0114345 0 77
436 FBtr0114346 0 67
437 FBtr0114347 0 67
438 FBtr0114340 0 84
439 FBtr0114341 0 80
440 FBtr0114342 0 71
441 FBtr0114343 0 75
442 FBtr0082520 0 1665
443 FBtr0082521 114 1563
444 FBtr0082522 104 1422
445 FBtr0082526 0 4331
446 FBtr0082527 0 3950
447 FBtr0082528 0 3988
448 FBtr0082529 0 6614
449 FBtr0086450 332 4823
450 FBtr0310479 0 655
451 FBtr0086457 0 4865
452 FBtr0310470 0 466
453 FBtr0310471 0 392
454 FBtr0310472 34 484
455 FBtr0310473 80 1103
456 FBtr0310474 0 1277
457 FBtr0310475 0 2234
458 FBtr0310476 118 2042
459 FBtr0310477 0 1330
460 FBtr0072242 0 2498
461 FBtr0072243 0 528
462 FBtr0072240 0 1949
463 FBtr0072241 0 526
464 FBtr0072246 22 468
465 FBtr0072247 0 2850
466 FBtr0072245 34 577
467 FBtr0072248 176 2789
468 FBtr0072249 126 3934
469 FBtr0086188 0 73
470 FBtr0086189 0 73
471 FBtr0075264 0 3698
472 FBtr0086182 246 3470
473 FBtr0086183 0 3467
474 FBtr0086180 156 1394
475 FBtr0086181 0 1001
476 FBtr0086186 0 1034
477 FBtr0086187 0 73
478 FBtr0086184 0 1425
479 FBtr0086185 102 1894
480 FBtr0309627 0 21
481 FBtr0309626 0 101
482 FBtr0309625 0 22
483 FBtr0309624 0 21
484 FBtr0309623 0 151
485 FBtr0309622 0 23
486 FBtr0309621 0 24
487 FBtr0309620 0 124
488 FBtr0302639 0 3245
489 FBtr0302638 0 2426
490 FBtr0309629 0 20
491 FBtr0309628 0 69
492 FBtr0084968 44 660
493 FBtr0084969 0 1069
494 FBtr0084962 180 2995
495 FBtr0084963 0 2938
496 FBtr0084960 22 982
497 FBtr0084961 48 664
498 FBtr0084966 0 3028
499 FBtr0084967 0 1244
500 FBtr0084964 160 2858
501 FBtr0084965 168 2887
502 FBtr0307373 0 8465
503 FBtr0307372 572 7418
504 FBtr0307371 250 4825
505 FBtr0307370 302 4186
506 FBtr0307377 0 2734
507 FBtr0307376 0 2641
508 FBtr0307375 0 11194
509 FBtr0307374 0 14300
510 FBtr0307379 0 5259
511 FBtr0307378 0 2779
512 FBtr0070894 0 1657
513 FBtr0079261 0 1104
514 FBtr0079260 354 5700
515 FBtr0079263 78 1438
516 FBtr0079262 0 3149
517 FBtr0079265 78 1002
518 FBtr0079264 0 472
519 FBtr0079267 0 1941
520 FBtr0079266 136 2042
521 FBtr0080935 0 4505
522 FBtr0079268 0 2098
523 FBtr0080937 0 529
524 FBtr0080936 0 770
525 FBtr0080931 126 1624
526 FBtr0080930 0 3237
527 FBtr0080933 0 1487
528 FBtr0080932 0 1465
529 FBtr0089407 0 2951
530 FBtr0303278 66 1392
531 FBtr0303279 0 1384
532 FBtr0303276 302 4308
533 FBtr0303277 726 10534
534 FBtr0303274 0 3774
535 FBtr0303275 0 4450
536 FBtr0303272 0 6348
537 FBtr0303273 0 6732
538 FBtr0303270 172 2855
539 FBtr0303271 186 6880
540 FBtr0084038 148 2039
541 FBtr0084039 0 2416
542 FBtr0084030 34 591
543 FBtr0084032 0 3492
544 FBtr0084033 72 1000
545 FBtr0084034 0 2799
546 FBtr0084035 0 3171
547 FBtr0084036 304 5338
548 FBtr0084037 0 973
549 FBtr0304134 0 2131
550 FBtr0304135 0 485
551 FBtr0304136 0 2642
552 FBtr0304137 0 1507
553 FBtr0304132 146 1839
554 FBtr0304133 104 1960
555 FBtr0304138 0 3881
556 FBtr0304139 0 1244
557 FBtr0300724 196 1898
558 FBtr0300727 0 3219
559 FBtr0300726 68 1010
560 FBtr0300721 130 1901
561 FBtr0300722 0 1847
562 FBtr0300729 0 2133
563 FBtr0300728 108 1844
564 FBtr0305269 0 635
565 FBtr0305268 0 1984
566 FBtr0305263 0 952
567 FBtr0305262 384 6995
568 FBtr0305261 192 2919
569 FBtr0305260 0 1525
570 FBtr0305265 82 1317
571 FBtr0305264 172 1709
572 FBtr0114629 0 3565
573 FBtr0114628 0 3821
574 FBtr0114623 376 4132
575 FBtr0114622 358 5193
576 FBtr0114621 0 2476
577 FBtr0114627 0 4353
578 FBtr0114624 202 3247
579 FBtr0083358 56 938
580 FBtr0083350 206 2984
581 FBtr0083351 192 3317
582 FBtr0083352 0 4380
583 FBtr0083353 0 2394
584 FBtr0083354 68 1091
585 FBtr0083356 0 1811
586 FBtr0083357 128 1660
587 FBtr0111053 538 7699
588 FBtr0111052 594 7702
589 FBtr0111051 0 7744
590 FBtr0111050 0 7744
591 FBtr0111057 0 7702
592 FBtr0111056 0 7699
593 FBtr0111055 0 7747
594 FBtr0111054 0 7744
595 FBtr0089661 0 2409
596 FBtr0111059 542 7747
597 FBtr0111058 0 7741
598 FBtr0306769 0 7755
599 FBtr0306768 0 7710
600 FBtr0306767 428 7764
601 FBtr0077206 216 3781
602 FBtr0331273 0 1425
603 FBtr0331272 78 1425
604 FBtr0331271 0 4060
605 FBtr0075363 298 3686
606 FBtr0331277 200 2169
607 FBtr0331276 0 1467
608 FBtr0331275 0 428
609 FBtr0331274 0 1047
610 FBtr0075369 30 538
611 FBtr0331279 0 411
612 FBtr0331278 38 650
613 FBtr0071845 76 1114
614 FBtr0071847 0 4586
615 FBtr0071846 0 4695
616 FBtr0071841 54 1167
617 FBtr0071840 0 1120
618 FBtr0071843 0 1616
619 FBtr0071842 82 1441
620 FBtr0071849 0 3071
621 FBtr0071848 38 1944
622 FBtr0332896 66 978
623 FBtr0075416 36 554
624 FBtr0332894 0 4755
625 FBtr0332895 60 1095
626 FBtr0332892 0 4434
627 FBtr0332893 268 4613
628 FBtr0332890 0 2801
629 FBtr0075417 0 1605
