geneID transcriptID
1 DDX11L1 NR_046018
2 WASH7P NR_024540
3 MIR6859-2 NR_107062
4 MIR6859-1 NR_106918_2
5 FAM138A NR_026818_1
6 FAM138F NR_026820_1
7 OR4F5 NM_001005484
8 LOC729737 NR_039983
9 LOC100132287 NR_028322_1
10 LOC100133331 NR_028327
11 LOC100132062 NR_028325
12 OR4F16 NM_001005277
13 OR4F29 NM_001005221_2
14 OR4F3 NM_001005224_2
15 MIR6723 NR_106781
16 OR4F29 NM_001005221
17 OR4F16 NM_001005277_1
18 OR4F3 NM_001005224
19 LOC100133331 NR_028327_1
20 LOC100288069 NR_033908
21 FAM87B NR_103536
22 LINC00115 NR_024321
23 LINC01128 NR_047520
24 LINC01128 NR_047524
25 LINC01128 NR_047521
26 LINC01128 NR_047522
27 LINC01128 NR_047526
28 LINC01128 NR_015368
29 LINC01128 NR_047519
30 LINC01128 NR_047523
31 LINC01128 NR_047525
32 FAM41C NR_027055
33 LOC100130417 NR_026874
34 SAMD11 NM_152486
35 NOC2L NM_015658
36 KLHL17 NM_198317
37 PLEKHN1 NM_001160184
38 PLEKHN1 NM_032129
39 PERM1 NM_001291367
40 PERM1 NM_001291366
41 HES4 NM_021170
42 HES4 NM_001142467
43 ISG15 NM_005101
44 AGRN NM_198576
45 RNF223 NM_001205252
46 C1orf159 NM_017891
47 LINC01342 NR_038869
48 MIR200B NR_029639
49 MIR200A NR_029834
50 MIR429 NR_029957
51 TTLL10 NM_001130045
52 TTLL10 NM_153254
53 TNFRSF18 NM_148901
54 TNFRSF18 NM_004195
55 TNFRSF18 NM_148902
56 TNFRSF4 NM_003327
57 SDF4 NM_016176
58 SDF4 NM_016547
59 B3GALT6 NM_080605
60 FAM132A NM_001014980
61 UBE2J2 NM_194315
62 UBE2J2 NM_058167
63 UBE2J2 NM_194458
64 UBE2J2 NM_194457
65 SCNN1D NR_037668
66 SCNN1D NM_001130413
67 ACAP3 NM_030649
68 MIR6726 NR_106784
69 PUSL1 NM_153339
70 CPSF3L NM_001256463
71 CPSF3L NM_001256456
72 CPSF3L NM_001256460
73 CPSF3L NM_017871
74 CPSF3L NM_001256462
75 MIR6727 NR_106785
